fwe;FW;1,0,0,2,1,;0
fgeg;gaer;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;21435
Beñat;contrasena;1,0,0,2,1,;1170
Beñat;contrasena;1,0,0,2,1,;240
Beñat;contrasena;1,0,0,2,1,;420
Beñat;contrasena;1,0,0,2,1,;330
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;14485
Beñat;contrasena;1,0,0,2,1,;13830
Beñat;contrasena;1,0,0,2,1,;12750
Beñat;contrasena;1,0,0,2,1,;12750
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
Beñat;contrasena;1,0,0,2,1,;0
